City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Mattru,SL,7.62,-11.83,77.61,78,99,6.76,overcast clouds
109,Cherskiy,RU,68.75,161.30,32.38,94,13,10.58,few clouds
110,Kulhudhuffushi,MV,6.62,73.07,81.55,79,100,18.59,overcast clouds
111,Cochrane,CA,51.18,-114.47,75.47,40,0,2.3,clear sky
112,Le Port,RE,-20.94,55.29,69.8,71,21,6.69,few clouds
113,Nong Chik,TH,6.84,101.18,78.64,85,100,1.19,overcast clouds
114,Haysyn,UA,48.81,29.39,77.74,36,0,14.9,clear sky
115,Marrakesh,MA,31.63,-8.01,109.47,14,75,6.91,broken clouds
116,Chokurdakh,RU,70.63,147.92,36.91,56,95,8.25,overcast clouds
117,Sao Filipe,CV,14.90,-24.50,75.63,87,69,7.11,broken clouds
118,Bambous Virieux,MU,-20.34,57.76,69.22,88,40,11.5,light rain
119,Nanyang,CN,32.99,112.53,78.24,83,17,3.15,few clouds
120,Geraldton,AU,-28.77,114.60,63.28,60,65,15.61,broken clouds
121,Te Anau,NZ,-45.42,167.72,33.64,94,43,1.95,scattered clouds
122,Topeka,US,39.05,-95.68,91.89,50,0,8.05,clear sky
123,Santa Cruz,BO,-17.80,-63.17,83.66,51,40,25.32,scattered clouds
124,Turukhansk,RU,65.82,87.98,55.44,81,64,7.16,broken clouds
125,Dimitrovgrad,RU,54.21,49.62,67.12,74,100,7.76,overcast clouds
126,Bethel,US,41.37,-73.41,92.35,67,40,6.91,scattered clouds
127,Bathsheba,BB,13.22,-59.52,86.61,84,40,23.02,scattered clouds
128,Lagoa,PT,39.05,-27.98,72.54,79,65,4.27,broken clouds
129,Pandan,PH,14.05,124.17,81.41,84,10,7.2,clear sky
130,Kaitangata,NZ,-46.28,169.85,43.05,89,100,4.59,overcast clouds
131,Ulladulla,AU,-35.35,150.47,54.63,82,94,7.63,overcast clouds
132,Yulara,AU,-25.24,130.99,51.06,39,4,8.68,clear sky
133,Segovia,ES,41.17,-4.00,96.44,12,0,10.47,clear sky
134,Karaton,ID,-6.34,106.10,73.99,93,50,0.43,scattered clouds
135,Castro,BR,-24.79,-50.01,72.77,52,5,7.9,clear sky
136,Rapid Valley,US,44.06,-103.15,87.42,40,0,13.8,clear sky
137,Ganzhou,CN,28.82,115.43,82.15,83,100,4.29,overcast clouds
138,Quatre Cocos,MU,-20.21,57.76,69.1,71,73,19.91,light rain
139,Ust-Maya,RU,60.42,134.53,65.21,73,100,3.24,overcast clouds
140,Tasiilaq,GL,65.61,-37.64,41.16,72,91,3.15,overcast clouds
141,Luderitz,NA,-26.65,15.16,64.72,55,0,12.48,clear sky
142,Aquin,HT,18.28,-73.40,86.22,63,89,4.92,overcast clouds
143,Katsuura,JP,35.13,140.30,77.77,94,100,13.22,overcast clouds
144,Gamba,GA,-2.65,10.00,75.18,75,29,10.11,scattered clouds
145,Visby,SE,57.64,18.30,88.02,35,0,13.8,clear sky
146,Margate,GB,51.38,1.39,70.11,75,60,4.0,broken clouds
147,Yumen,CN,40.28,97.20,71.17,23,0,9.71,clear sky
148,Palizada,MX,18.25,-92.08,88.21,53,21,9.6,few clouds
149,Sturgis,US,41.80,-85.42,82.53,51,0,9.22,clear sky
150,Kangasala,FI,61.46,24.08,84.85,44,86,6.06,overcast clouds
151,Rundu,NA,-17.93,19.77,71.74,24,2,3.51,clear sky
152,Gat,IL,31.61,34.76,83.8,100,2,11.3,clear sky
153,Vanimo,PG,-2.67,141.30,78.33,85,100,1.01,moderate rain
154,Fabriano,IT,43.34,12.91,99.23,32,11,9.66,few clouds
155,Okhotsk,RU,59.38,143.30,53.24,93,92,2.08,overcast clouds
156,Port Lincoln,AU,-34.73,135.87,54.03,71,100,13.6,overcast clouds
157,Aloleng,PH,16.13,119.78,82.18,78,100,6.04,overcast clouds
158,Flagstaff,US,35.20,-111.65,79.05,41,91,3.0,overcast clouds
159,Saint George,US,37.10,-113.58,97.79,21,0,4.61,clear sky
160,Huarmey,PE,-10.07,-78.15,66.27,74,70,10.69,broken clouds
161,Zacualpan,MX,21.25,-105.17,91.02,66,38,2.28,scattered clouds
162,Loreto,MX,22.27,-101.97,77.86,22,1,3.78,clear sky
163,Lebu,CL,-37.62,-73.65,52.27,83,89,2.01,overcast clouds
164,Takoradi,GH,4.88,-1.76,78.3,64,27,11.79,scattered clouds
165,Adrar,MR,20.50,-10.07,102.25,22,7,7.87,clear sky
166,Saskylakh,RU,71.92,114.08,49.64,70,98,12.86,overcast clouds
167,Ponta Do Sol,PT,32.67,-17.10,76.12,63,1,4.41,clear sky
168,Albert Lea,US,43.65,-93.37,80.62,57,0,10.36,clear sky
169,Maumere,ID,-8.62,122.21,77.56,83,72,8.39,broken clouds
170,Clyde River,CA,70.47,-68.59,39.43,93,100,14.97,moderate rain
171,Hannibal,US,39.71,-91.36,87.35,55,0,5.77,clear sky
172,Iqaluit,CA,63.75,-68.51,40.69,100,100,5.01,light intensity drizzle
173,Apac,UG,1.98,32.54,73.35,61,78,3.83,broken clouds
174,Isangel,VU,-19.55,169.27,76.08,87,14,10.25,few clouds
175,Taltal,CL,-25.40,-70.48,61.88,73,25,5.48,scattered clouds
176,Cozumel,MX,20.51,-86.95,95.07,68,40,5.01,scattered clouds
177,Juegang,CN,32.32,121.19,80.91,91,16,4.43,few clouds
178,Skjervoy,NO,70.03,20.97,55.4,99,100,11.14,light rain
179,Muros,ES,42.78,-9.06,83.68,66,3,14.97,clear sky
180,Tahe,CN,52.33,124.73,62.02,97,45,0.87,scattered clouds
181,Sechura,PE,-5.56,-80.82,68.61,64,63,12.17,broken clouds
182,Naze,JP,28.37,129.48,83.32,88,79,13.29,broken clouds
183,Chadiza,ZM,-14.07,32.44,70.11,40,87,9.19,overcast clouds
184,Severo-Kurilsk,RU,50.68,156.12,52.48,97,100,22.95,moderate rain
185,Ribeira Grande,PT,38.52,-28.70,75.6,88,20,8.05,few clouds
186,Chiredzi,ZW,-21.05,31.67,74.14,39,83,4.65,broken clouds
187,Port Hedland,AU,-20.32,118.57,71.56,63,0,10.74,clear sky
188,Airai,TL,-8.93,125.41,55.83,91,90,2.68,overcast clouds
189,Fort-Shevchenko,KZ,44.51,50.26,77.36,68,63,22.19,broken clouds
190,Vuktyl,RU,63.86,57.31,66.85,52,98,5.97,overcast clouds
191,Bemidji,US,47.47,-94.88,76.05,53,0,17.27,clear sky
192,Shenjiamen,CN,29.96,122.30,79.0,91,99,3.4,overcast clouds
193,Prince Rupert,CA,54.32,-130.32,57.29,84,100,6.91,overcast clouds
194,Trinidad,BO,-14.83,-64.90,89.58,45,5,11.5,clear sky
195,Mamallapuram,IN,12.63,80.17,87.85,74,68,7.9,broken clouds
196,Coihaique,CL,-45.58,-72.07,33.75,93,75,3.44,broken clouds
197,Atasu,KZ,48.68,71.64,70.7,64,37,10.2,scattered clouds
198,Khudumelapye,BW,-23.88,24.75,61.95,47,83,6.58,broken clouds
199,Iralaya,HN,15.00,-83.23,84.22,68,9,9.53,clear sky
200,Hailar,CN,49.20,119.70,69.19,64,1,4.63,clear sky
201,Baiyin,CN,36.56,104.21,55.11,78,100,7.16,overcast clouds
202,Reyes,BO,-14.32,-67.38,86.16,58,20,9.22,few clouds
203,Baykit,RU,61.67,96.37,58.39,79,80,3.04,broken clouds
204,Yellowknife,CA,62.46,-114.35,63.12,55,20,5.75,few clouds
205,Kisangani,CD,0.52,25.20,79.34,75,99,3.18,overcast clouds
206,Ibipeba,BR,-11.64,-42.01,80.56,34,44,10.09,scattered clouds
207,Chernyshevskiy,RU,63.01,112.47,55.67,89,92,2.91,overcast clouds
208,Necochea,AR,-38.55,-58.74,51.39,42,72,12.26,broken clouds
209,Hofn,IS,64.25,-15.21,55.42,76,100,6.91,overcast clouds
210,Faanui,PF,-16.48,-151.75,76.71,75,17,12.8,few clouds
211,Vila Velha,BR,-20.33,-40.29,78.75,77,40,12.66,scattered clouds
212,Warrington,GB,53.39,-2.58,68.92,66,75,10.36,broken clouds
213,Bindi,SL,9.92,-11.45,75.38,89,97,7.38,light rain
214,Marawi,PH,8.00,124.29,69.06,94,100,1.72,overcast clouds
215,Clarence Town,AU,-32.58,151.78,62.85,91,100,2.82,overcast clouds
216,Dali,CN,25.70,100.18,63.81,87,99,2.82,overcast clouds
217,Severnyy,RU,50.68,36.55,60.84,94,0,8.95,clear sky
218,Alyangula,AU,-13.85,136.42,66.33,67,43,9.82,scattered clouds
219,Ahipara,NZ,-35.17,173.17,54.9,82,90,9.48,overcast clouds
220,Monrovia,LR,6.30,-10.80,78.28,71,95,12.33,overcast clouds
221,Tiksi,RU,71.69,128.87,40.46,85,29,8.9,scattered clouds
222,Pangnirtung,CA,66.15,-65.71,44.6,100,100,5.75,light rain
223,Kamaishi,JP,39.27,141.88,70.83,89,61,1.92,broken clouds
224,Mgarr,MT,36.03,14.29,86.58,60,0,5.3,clear sky
225,Bagdarin,RU,54.43,113.60,62.19,83,100,2.84,overcast clouds
226,Awjilah,LY,29.11,21.29,92.97,19,0,16.08,clear sky
227,East London,ZA,-33.02,27.91,56.34,88,0,9.22,clear sky
228,Anadyr,RU,64.75,177.48,43.3,81,0,4.47,clear sky
229,Laguna,US,38.42,-121.42,87.08,58,0,6.91,clear sky
230,Roald,NO,62.58,6.13,60.75,77,40,13.8,scattered clouds
231,Cooma,AU,-36.23,149.13,35.37,100,100,3.44,overcast clouds
232,Asau,RO,46.43,26.40,81.52,29,0,8.32,clear sky
233,Arkadelphia,US,34.12,-93.05,95.18,55,25,2.24,scattered clouds
234,Jiuquan,CN,39.74,98.52,70.21,24,7,9.51,clear sky
235,Ancud,CL,-41.87,-73.82,41.23,79,100,13.06,light rain
236,Agar,IN,23.70,76.02,78.73,81,100,3.65,overcast clouds
237,Deputatskiy,RU,69.30,139.90,37.65,89,3,4.7,clear sky
238,Sioux Lookout,CA,50.10,-91.92,73.47,56,40,11.5,scattered clouds
239,Los Llanos De Aridane,ES,28.66,-17.92,73.15,73,0,17.27,clear sky
240,Victoria,HK,22.29,114.16,87.33,74,0,1.99,clear sky
241,Hilo,US,19.73,-155.09,74.28,99,75,4.61,heavy intensity rain
242,Neuquen,AR,-38.95,-68.06,49.89,46,0,3.44,clear sky
243,Ust-Tsilma,RU,65.44,52.15,70.39,50,75,6.55,broken clouds
244,Coquimbo,CL,-29.95,-71.34,55.13,82,75,8.05,broken clouds
245,Akhtanizovskaya,RU,45.32,37.10,72.07,45,0,8.77,clear sky
246,Ilkeston,GB,52.97,-1.31,69.28,62,75,8.05,broken clouds
247,Dalvik,IS,65.97,-18.53,55.33,76,95,6.02,overcast clouds
248,Kupino,RU,54.37,77.30,65.62,73,1,13.2,clear sky
249,Axim,GH,4.87,-2.24,78.51,60,50,8.86,scattered clouds
250,Arlit,NE,18.74,7.39,104.58,9,1,2.1,clear sky
251,Collie,AU,-33.37,116.15,51.75,87,73,5.01,broken clouds
252,Provideniya,RU,64.38,-173.30,39.76,77,99,9.93,overcast clouds
253,Hervey Bay,AU,-25.30,152.85,63.19,86,99,21.12,light rain
254,Kruisfontein,ZA,-34.00,24.73,53.89,83,0,3.0,clear sky
255,La Ronge,CA,55.10,-105.28,62.82,63,75,23.02,broken clouds
256,Pundaguitan,PH,6.37,126.17,81.63,77,97,2.98,light rain
